타임스탬프,성별,연령대,거주지역,"귀하께서 가지고 있는 피부 질환이 있습니까?
(없으면 ""없음"" 부탁드립니다)",1. 귀하는 자신의 피부에 어느 정도 고민이 있다고 생각하십니까?,2. 귀하께서 관심 있는 피부 관리를 선택해 주시기 바랍니다,"3. 만약 귀하는 피부 고민이 생겼다면, 어떤 방법으로 해결하시겠습니까?","4. 피부 관련 앱을 사용해보신적이 있나요?
비대면 진료어플(닥터나우 등), 피부관리 앱(여신티켓 등)",4-1 앱을 사용해보신 적이 있다면 이용해 보신 앱을 모두 골라주세요 (4번 문항 '있다'라고 응답하신 경우만 체크),4-2 사용하신 어플에 만족하신가요?  (4번 문항 '있다'라고 응답하신 경우만 체크),"4-3 피부관련 앱을  사용해 보신적이 없으시다면, 향후 앱을 이용하실  의사가 얼마나 있으신가요?  (4번 문항 '없다'라고 응답하신 경우만 체크)",5.  '피부질환 예측 플랫폼'에서 제공하는 서비스중 가장 중요/필요하다고 생각하시는 서비스를 선택해 주시기 바랍니다. [1순위],5.  '피부질환 예측 플랫폼'에서 제공하는 서비스중 가장 중요/필요하다고 생각하시는 서비스를 선택해 주시기 바랍니다. [2순위],5.  '피부질환 예측 플랫폼'에서 제공하는 서비스중 가장 중요/필요하다고 생각하시는 서비스를 선택해 주시기 바랍니다. [3순위],5.  '피부질환 예측 플랫폼'에서 제공하는 서비스중 가장 중요/필요하다고 생각하시는 서비스를 선택해 주시기 바랍니다. [4순위],5.  '피부질환 예측 플랫폼'에서 제공하는 서비스중 가장 중요/필요하다고 생각하시는 서비스를 선택해 주시기 바랍니다. [5순위],6.  '피부질환 예측 플랫폼' 앱이 출시 된다면  이용하실 의향이 있으십니까?,7. 귀하가 향후 '피부질환 예측 플랫폼' 앱을 이용하신다면 얼마나 편리할 것으로 생각하십니까?,8. '피부질환 예측 플랫폼' 앱이 제공하는 서비스가 귀하에게 얼마나 유용할 것이라고  생각하십니까?," 9. '피부질환 예측 플랫폼' 앱이 위의 설명처럼 간단한 촬영을 통해 피부질환을 예측해주고 병원 예약 등을 쉽게 도와주는 서비스라면, 구매하실 의향이 있으십니까?","9-1. '피부질환 예측 플랫폼' 앱을 구매하신다면, 원하시는 구매 방식을 선택하여 주시기 바랍니다.","9-2.  '피부질환 예측 플랫폼' 앱을 연간 회원제로 이용하신다면,  적당하다고 생각하시는 가격대를 선택하여 주시기 바랍니다."
2022. 11. 23 오후 7:29:49,여자,20대,서울/인천 및 수도권,없음,2,"수분 관리(물광주사), 탄력및 활력(비타민 주사 등등), 압출",지인추천을 통한 피부과 방문,없다,,,,정확한 피부질환 예측도,전문성 있는 주변 병원/약국 추천,약국에서 현재 구매가능한 약 실시간 재고 확인,병원 통합예약 플랫폼,피부질환 관련 정보공유 게시판 등,5,5,5,4,부분 유료화(병원 예약 등은 수수료 발생),그 이상
2022. 11. 24 오후 1:37:52,여자,20대,서울/인천 및 수도권,없음,5,여드름,평소 다니던 피부과 방문,없다,,,3,정확한 피부질환 예측도,병원 통합예약 플랫폼,전문성 있는 주변 병원/약국 추천,약국에서 현재 구매가능한 약 실시간 재고 확인,피부질환 관련 정보공유 게시판 등,2,3,3,1,"구독 서비스(월별, 연간 등)","30,000원 / 연간"
2022. 11. 25 오전 10:36:32,여자,20대,서울/인천 및 수도권,없음,4,모공 및 잡티,자가진단 후 기능성화장품 구매,없다,,,,정확한 피부질환 예측도,피부질환 관련 정보공유 게시판 등,전문성 있는 주변 병원/약국 추천,약국에서 현재 구매가능한 약 실시간 재고 확인,병원 통합예약 플랫폼,3,3,3,3,부분 유료화(병원 예약 등은 수수료 발생),"20,000 ~ 30,000원 / 연간"
2022. 11. 25 오전 10:37:06,여자,20대,서울/인천 및 수도권,없음,4,흉터관리,자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,,,4,전문성 있는 주변 병원/약국 추천,정확한 피부질환 예측도,병원 통합예약 플랫폼,피부질환 관련 정보공유 게시판 등,약국에서 현재 구매가능한 약 실시간 재고 확인,4,3,3,4,부분 유료화(병원 예약 등은 수수료 발생),"20,000 ~ 30,000원 / 연간"
2022. 11. 25 오전 10:40:43,남자,30대,서울/인천 및 수도권,없음,2,없음,자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,"닥터나우, 닥터나우 깔기만 했어요",,,정확한 피부질환 예측도,전문성 있는 주변 병원/약국 추천,병원 통합예약 플랫폼,피부질환 관련 정보공유 게시판 등,약국에서 현재 구매가능한 약 실시간 재고 확인,3,4,3,3,부분 유료화(병원 예약 등은 수수료 발생),"10,000원 이하"
2022. 11. 25 오전 10:40:57,남자,40대 이상,서울/인천 및 수도권,아토피,3,없음,자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,,,,정확한 피부질환 예측도,피부질환 관련 정보공유 게시판 등,전문성 있는 주변 병원/약국 추천,병원 통합예약 플랫폼,약국에서 현재 구매가능한 약 실시간 재고 확인,4,5,5,5,부분 유료화(병원 예약 등은 수수료 발생),"10,000원 이하"
2022. 11. 25 오전 10:41:15,남자,30대,서울/인천 및 수도권,있음,4,"사마귀 레이저치료 , 여드름압출/스케일링",평소 다니던 피부과 방문,없다,,,,병원 통합예약 플랫폼,피부질환 관련 정보공유 게시판 등,전문성 있는 주변 병원/약국 추천,정확한 피부질환 예측도,약국에서 현재 구매가능한 약 실시간 재고 확인,3,3,3,3,부분 유료화(병원 예약 등은 수수료 발생),"10,000 ~ 20,000원 / 연간"
2022. 11. 25 오전 10:43:34,여자,20대,서울/인천 및 수도권,없음,4,탄력및 활력(비타민 주사 등등),자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,,,,정확한 피부질환 예측도,병원 통합예약 플랫폼,전문성 있는 주변 병원/약국 추천,피부질환 관련 정보공유 게시판 등,약국에서 현재 구매가능한 약 실시간 재고 확인,4,4,2,4,부분 유료화(병원 예약 등은 수수료 발생),"10,000 ~ 20,000원 / 연간"
2022. 11. 25 오전 10:45:16,남자,30대,서울/인천 및 수도권,없음,4,"수분 관리(물광주사), 탄력및 활력(비타민 주사 등등)",자가진단 후 (포털사이트 검색등등) 약국 약 처방,없다,,,2,정확한 피부질환 예측도,전문성 있는 주변 병원/약국 추천,약국에서 현재 구매가능한 약 실시간 재고 확인,병원 통합예약 플랫폼,피부질환 관련 정보공유 게시판 등,3,4,3,4,부분 유료화(병원 예약 등은 수수료 발생),"10,000원 이하"
2022. 11. 25 오전 10:48:04,남자,30대,서울/인천 및 수도권,없움,4,리프팅,자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,,,,정확한 피부질환 예측도,병원 통합예약 플랫폼,약국에서 현재 구매가능한 약 실시간 재고 확인,전문성 있는 주변 병원/약국 추천,피부질환 관련 정보공유 게시판 등,2,2,2,1,,
2022. 11. 25 오전 10:49:27,여자,30대,기타 광역시,없음,4,"수분 관리(물광주사), 리프팅, 탄력및 활력(비타민 주사 등등)",피부관리샵 방문,있다,여신티켓,4,,정확한 피부질환 예측도,전문성 있는 주변 병원/약국 추천,병원 통합예약 플랫폼,피부질환 관련 정보공유 게시판 등,약국에서 현재 구매가능한 약 실시간 재고 확인,3,4,4,4,부분 유료화(병원 예약 등은 수수료 발생),"10,000원 이하"
2022. 11. 25 오전 10:49:51,여자,40대 이상,서울/인천 및 수도권,알레르기,5,"수분 관리(물광주사), 리프팅, 탄력및 활력(비타민 주사 등등)",자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,,,1,정확한 피부질환 예측도,피부질환 관련 정보공유 게시판 등,약국에서 현재 구매가능한 약 실시간 재고 확인,병원 통합예약 플랫폼,,1,3,3,2,부분 유료화(병원 예약 등은 수수료 발생),"10,000원 이하"
2022. 11. 25 오전 10:52:17,남자,40대 이상,서울/인천 및 수도권,없음,4,탄력및 활력(비타민 주사 등등),자가진단 후 (포털사이트 검색등등) 약국 약 처방,없다,,,5,정확한 피부질환 예측도,병원 통합예약 플랫폼,전문성 있는 주변 병원/약국 추천,피부질환 관련 정보공유 게시판 등,약국에서 현재 구매가능한 약 실시간 재고 확인,5,5,3,3,부분 유료화(병원 예약 등은 수수료 발생),초기 1개월 무료 후 유료전환
2022. 11. 25 오전 10:55:35,여자,30대,서울/인천 및 수도권,없음,2,탄력및 활력(비타민 주사 등등),평소 다니던 피부과 방문,없다,,,2,정확한 피부질환 예측도,병원 통합예약 플랫폼,피부질환 관련 정보공유 게시판 등,약국에서 현재 구매가능한 약 실시간 재고 확인,전문성 있는 주변 병원/약국 추천,4,3,4,1,부분 유료화(병원 예약 등은 수수료 발생),"10,000원 이하"
2022. 11. 25 오전 10:56:05,남자,20대,서울/인천 및 수도권,,1,없음,평소 다니던 피부과 방문,없다,,,1,정확한 피부질환 예측도,병원 통합예약 플랫폼,전문성 있는 주변 병원/약국 추천,약국에서 현재 구매가능한 약 실시간 재고 확인,피부질환 관련 정보공유 게시판 등,3,4,3,4,부분 유료화(병원 예약 등은 수수료 발생),"20,000 ~ 30,000원 / 연간"
2022. 11. 25 오전 10:57:35,남자,40대 이상,서울/인천 및 수도권,없음,4,피부 노,자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,,,,정확한 피부질환 예측도,전문성 있는 주변 병원/약국 추천,피부질환 관련 정보공유 게시판 등,병원 통합예약 플랫폼,약국에서 현재 구매가능한 약 실시간 재고 확인,4,5,4,3,,
2022. 11. 25 오전 10:59:55,남자,40대 이상,서울/인천 및 수도권,광과민성,4,없음,자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,,,2,정확한 피부질환 예측도,병원 통합예약 플랫폼,약국에서 현재 구매가능한 약 실시간 재고 확인,피부질환 관련 정보공유 게시판 등,전문성 있는 주변 병원/약국 추천,4,3,3,1,,
2022. 11. 25 오전 11:02:48,여자,20대,서울/인천 및 수도권,없음,4,탄력및 활력(비타민 주사 등등),자가진단 후 (포털사이트 검색등등) 약국 약 처방,없다,,,,약국에서 현재 구매가능한 약 실시간 재고 확인,병원 통합예약 플랫폼,약국에서 현재 구매가능한 약 실시간 재고 확인,병원 통합예약 플랫폼,피부질환 관련 정보공유 게시판 등,3,4,4,2,"구독 서비스(월별, 연간 등)","10,000 ~ 20,000원 / 연간"
2022. 11. 25 오전 11:07:27,여자,30대,서울/인천 및 수도권,없음,3,여드름자국 ,자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,,,,피부질환 관련 정보공유 게시판 등,전문성 있는 주변 병원/약국 추천,약국에서 현재 구매가능한 약 실시간 재고 확인,병원 통합예약 플랫폼,정확한 피부질환 예측도,4,3,3,2,부분 유료화(병원 예약 등은 수수료 발생),"10,000원 이하"
2022. 11. 25 오전 11:09:17,남자,30대,서울/인천 및 수도권,,5,없음,자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,,,4,정확한 피부질환 예측도,병원 통합예약 플랫폼,전문성 있는 주변 병원/약국 추천,피부질환 관련 정보공유 게시판 등,약국에서 현재 구매가능한 약 실시간 재고 확인,4,5,5,1,,
2022. 11. 25 오전 11:10:45,남자,30대,서울/인천 및 수도권,없음,1,없음,관리에 관심이 많은 지인에게 물어본다,없다,,,1,전문성 있는 주변 병원/약국 추천,정확한 피부질환 예측도,피부질환 관련 정보공유 게시판 등,약국에서 현재 구매가능한 약 실시간 재고 확인,병원 통합예약 플랫폼,5,5,5,5,"구독 서비스(월별, 연간 등)","10,000원 이하"
2022. 11. 25 오전 11:18:57,여자,30대,서울/인천 및 수도권,없음,3,탄력및 활력(비타민 주사 등등),평소 다니던 피부과 방문,없다,,,,정확한 피부질환 예측도,피부질환 관련 정보공유 게시판 등,전문성 있는 주변 병원/약국 추천,병원 통합예약 플랫폼,약국에서 현재 구매가능한 약 실시간 재고 확인,4,4,3,2,부분 유료화(병원 예약 등은 수수료 발생),"10,000원 이하"
2022. 11. 25 오전 11:25:30,남자,30대,서울/인천 및 수도권,없음,4,없음,자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,,,5,정확한 피부질환 예측도,병원 통합예약 플랫폼,약국에서 현재 구매가능한 약 실시간 재고 확인,피부질환 관련 정보공유 게시판 등,,4,3,3,3,"구독 서비스(월별, 연간 등)","10,000 ~ 20,000원 / 연간"
2022. 11. 25 오전 11:37:53,여자,20대,서울/인천 및 수도권,없음,4,리프팅,자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,,,3,정확한 피부질환 예측도,피부질환 관련 정보공유 게시판 등,전문성 있는 주변 병원/약국 추천,병원 통합예약 플랫폼,약국에서 현재 구매가능한 약 실시간 재고 확인,2,3,3,2,부분 유료화(병원 예약 등은 수수료 발생),"10,000원 이하"
2022. 11. 25 오후 1:29:49,남자,30대,서울/인천 및 수도권,없음,2,없음,평소 다니던 피부과 방문,없다,,,1,전문성 있는 주변 병원/약국 추천,약국에서 현재 구매가능한 약 실시간 재고 확인,병원 통합예약 플랫폼,정확한 피부질환 예측도,피부질환 관련 정보공유 게시판 등,1,4,2,1,연간 회원제(유료회원 가입 등),"10,000원 이하"
2022. 11. 26 오후 2:41:04,여자,20대,서울/인천 및 수도권,없음,3,"수분 관리(물광주사), 탄력및 활력(비타민 주사 등등)",자가진단 후 (포털사이트 검색등등) 약국 약 처방,없다,,,3,정확한 피부질환 예측도,약국에서 현재 구매가능한 약 실시간 재고 확인,병원 통합예약 플랫폼,전문성 있는 주변 병원/약국 추천,피부질환 관련 정보공유 게시판 등,3,2,3,4,부분 유료화(병원 예약 등은 수수료 발생),"10,000원 이하"
2022. 11. 26 오후 2:41:34,여자,20대,서울/인천 및 수도권,없음,3,"수분 관리(물광주사), 탄력및 활력(비타민 주사 등등), 잡티제거",평소 다니던 피부과 방문,없다,,,1,정확한 피부질환 예측도,피부질환 관련 정보공유 게시판 등,약국에서 현재 구매가능한 약 실시간 재고 확인,병원 통합예약 플랫폼,전문성 있는 주변 병원/약국 추천,2,4,2,3,부분 유료화(병원 예약 등은 수수료 발생),"10,000원 이하"
2022. 11. 26 오후 11:18:52,남자,30대,서울/인천 및 수도권,없음,4,탄력및 활력(비타민 주사 등등),자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,,,4,정확한 피부질환 예측도,전문성 있는 주변 병원/약국 추천,피부질환 관련 정보공유 게시판 등,병원 통합예약 플랫폼,약국에서 현재 구매가능한 약 실시간 재고 확인,4,4,4,4,부분 유료화(병원 예약 등은 수수료 발생),"20,000 ~ 30,000원 / 연간"
2022. 11. 26 오후 11:20:11,남자,20대,서울/인천 및 수도권,없음,5,탄력및 활력(비타민 주사 등등),자가진단 후 (포털사이트 검색등등) 피부과 방문,있다,닥터나우,2,,정확한 피부질환 예측도,병원 통합예약 플랫폼,약국에서 현재 구매가능한 약 실시간 재고 확인,피부질환 관련 정보공유 게시판 등,전문성 있는 주변 병원/약국 추천,4,4,4,4,"구독 서비스(월별, 연간 등)","30,000 ~ 40,000원 / 연간"
2022. 11. 26 오후 11:21:21,여자,20대,서울/인천 및 수도권,없음,2,리프팅,자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,,,5,정확한 피부질환 예측도,전문성 있는 주변 병원/약국 추천,병원 통합예약 플랫폼,약국에서 현재 구매가능한 약 실시간 재고 확인,피부질환 관련 정보공유 게시판 등,5,5,5,5,"구독 서비스(월별, 연간 등)","30,000 ~ 40,000원 / 연간"
2022. 11. 27 오후 4:32:18,남자,30대,서울/인천 및 수도권,없음,3,탄력및 활력(비타민 주사 등등),자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,,,,병원 통합예약 플랫폼,약국에서 현재 구매가능한 약 실시간 재고 확인,병원 통합예약 플랫폼,정확한 피부질환 예측도,전문성 있는 주변 병원/약국 추천,3,4,4,4,부분 유료화(병원 예약 등은 수수료 발생),"30,000 ~ 40,000원 / 연간"
2022. 11. 27 오후 4:35:10,남자,30대,서울/인천 및 수도권,없음,3,수분 관리(물광주사),자가진단 후 (포털사이트 검색등등) 약국 약 처방,없다,,,,정확한 피부질환 예측도,병원 통합예약 플랫폼,피부질환 관련 정보공유 게시판 등,전문성 있는 주변 병원/약국 추천,약국에서 현재 구매가능한 약 실시간 재고 확인,3,3,2,2,부분 유료화(병원 예약 등은 수수료 발생),"10,000원 이하"
2022. 11. 27 오후 4:41:24,여자,30대,서울/인천 및 수도권,뾰루지,5,"수분 관리(물광주사), 리프팅, 탄력및 활력(비타민 주사 등등)",평소 다니던 피부과 방문,있다,여신티켓,2,5,정확한 피부질환 예측도,피부질환 관련 정보공유 게시판 등,전문성 있는 주변 병원/약국 추천,병원 통합예약 플랫폼,약국에서 현재 구매가능한 약 실시간 재고 확인,5,5,5,5,부분 유료화(병원 예약 등은 수수료 발생),"10,000원 이하"
2022. 11. 27 오후 6:35:45,남자,30대,서울/인천 및 수도권,없음,3,탄력및 활력(비타민 주사 등등),자가진단 후 (포털사이트 검색등등) 피부과 방문,없다,,4,3,전문성 있는 주변 병원/약국 추천,약국에서 현재 구매가능한 약 실시간 재고 확인,병원 통합예약 플랫폼,정확한 피부질환 예측도,피부질환 관련 정보공유 게시판 등,3,3,3,2,부분 유료화(병원 예약 등은 수수료 발생),"10,000원 이하"
2022. 11. 28 오후 8:12:57,여자,20대,서울/인천 및 수도권,아토피,5,수분 관리(물광주사),,있다,여신티켓,3,3,정확한 피부질환 예측도,약국에서 현재 구매가능한 약 실시간 재고 확인,피부질환 관련 정보공유 게시판 등,병원 통합예약 플랫폼,전문성 있는 주변 병원/약국 추천,2,3,4,2,부분 유료화(병원 예약 등은 수수료 발생),"10,000원 이하"